新聞標題,是否適宜觀看
男偶像自爆「出道之後就沒談過戀愛」　理想型是《寄生上流》的她,1
女大生遭男同學打手槍射在身上　校方竟要她「當作沒發生」,0
新加坡外籍勞工已15萬染疫 遠超本國公民,1
她「5年不給碰」老公偷吃人妻 網挺男方：是被妳逼的,1
偏鄉和順國小學童走讀 結合棒棒積木飯店漂書啟動,1
少女徹夜未歸與2男網友一夜情　母街頭苦等揭荒誕行徑,0
【Yahoo論壇】用公投重新守護民主與食安,1
蘇偉碩遭查水表 民進黨：江啓臣要為造謠行為背書嗎？,1
再紅也沒用 日動畫師錢比超商員工少,1
支付寶.微信支付入列! 川普禁8款中國大陸軟體,1
人妻逛老街問老菜脯價格 店家狠嗆：不買就滾、去吃加色素的,1
華藝疑違法配合陸方審查論文 教育部：將專案調查,1
40億點閱《女神降臨》有臉蛋天才　未演先轟動,1
影／綠鬣蜥過馬路 彰化網友驚呼：蔬菜產區淪陷了嗎？,1
影／基隆封溪4年 移除10種外來魚類共1161尾,1
冬天必吃！全聯「神雞湯」讓她整鍋嗑光 網讚：都是大塊腿肉,1
首例「英國變種病毒」入侵法國　自倫敦返法無症狀隔離中,1
寧夏古早味征服饕客 4千金傳承美味,1
防萊豬進校園嘉市執行防萊5步驟 黃敏惠帶校長觀摩,1
火爆哥騎車 「踹一腳」代價萬元又涉恐嚇,1
25歲方志友帶球嫁入楊家 第一天被公公舉動惹淚了,1
川普支持者闖國會爆衝突 當局證實一警傷重不治,0
侯友宜點名永和大陳2年內開工 都更拚明年核准550件,1
莫斯科芭蕾舞團 全部停演,1
61歲翁撞3600萬豪車嚇：怎麼賠,1
群聚病例增加遭多州禁入 澳洲大城雪梨陷孤立,1
氣溫斷崖式崩跌冷爆 網揭4保暖物,1
松阪蘇、馬卡茸、薑+母鴨？ 政壇大咖該補修的庶民學分,1
爸做忌沒人煮菜 女友9菜1湯感動網,1
衛福部拍板健保費調漲　蔡英文：集結力量給醫護最大支持,1
台幣強升！出口導向企業「月賠70萬」 憂倒閉潮,1
房子銀子孩子都被妻掌握　科技男提離婚外遇竟曝光,0
凌晨4點揪男同學在客廳吃泡麵 女兒「超扯解釋」讓爸起疑,1
【病毒變種】英國變種病毒B.1.1.7流竄　德國也現蹤跡,1
小米10T、10T Pro終於登台 接下來還會引進入門款10T Lite,1
古斌憋氣到缺氧！瀕死演技好真實,1
家裡舊車換成新買的進口車 他曝曖昧女「反差嘴臉」網勸放生,1
中共黨員新權利條例 海外學者：習加強掌控全黨,1
【球星不雅片內幕】驚爆職棒也受害　球星不雅片風暴擴大18人遭偷拍,0
【山寨新光騙兩岸2】免息借款千萬真好康？　他們奸計讓父子奉上2間房,1
生命橋梁助學計畫 7年贊助1340學子邁向精彩人生,1
"免擔心!親親口罩公布檢測報告,請安心配戴",1
解讀紐交所停止摘牌中國三大電信商,1
馬克宏確診COVID-19 妻子與多位歐洲首長自我隔離,1
【財產申報】陳菊出任監察院長　繳清近千萬房貸,1
憤恨難平！他點三明治被「誇張加料」網：得罪外送員？,1
台南駕駛超失控！連撞2車＋號誌箱 整台翻覆1人受傷,1
日本單日7570確診進緊急狀態　仍開放台灣等11國商務入境,1
【人妻衰遇狼密醫1】免費診療藏色念　狼密醫猥褻人妻遭小孩撞見,0
名主播未成年女兒賣淫　清純妹變紅牌哭訴「爸媽早不管死活」,0
「股神」亞馬遜三方事業關門 降低美國健保負擔成泡影,1
長者發燒、食慾差、活動力不佳 身體發出警訊要注意,1
桃園一期稻部分不停灌 農民中獎、年難過兩樣情,1
楊志良痛批李遠哲：他頭殼壞了,1
1月台指期漲104點,1
廣達女接觸者二採出爐 剩3人檢驗中,1
本土案例身分曝！是廣達集團女員工 足跡出沒台北,1
湯圓配清水很奇怪？老饕揭「判斷關鍵」：好吃又不甜,1
十大運動事件 NBA泡泡園區最夯,1
【病毒變種】英返台確診者皆小於30歲　專家揭年輕人易感染真相,1
萊豬今立院表決闖關　藍委夜宿門口陳玉珍有「豬」陪睡,1
元旦白天起緩回溫　氣象專家：迎曙光天氣還算理想,1
影／噁！台中又一日租房偽裝檢疫所 檢疫者窗台垃圾任滴水,1
【貨櫃航運投資術1】貨櫃三雄飆翻天　不敗教主出清持股兩週賺59%,1
女子好奇為何沒人買「6折櫻桃」 內行人揭影響消費2大關鍵,1
倒數跨年目睹男友啾咪媽媽　女大生潰喊：我是破壞他們的第三者,0
為艾迪墨菲備菜　蛋糕裡放炸藥讓她壓力破表,1
聽〈有一種悲傷〉被驚艷　呂方跨海邀約A-Lin驚訝「她好高」,1
擴大招港澳生 教部研擬開放境外申請來台讀高中,1
先懲處再銷過？校長荒唐行徑百出 但也有人被鄉民公審,1
HBL／恐怖泰山狂轟118分 攜東山、東泰晉級,1
賽事心得／台北馬拉松 漫漫長路的破二之旅不再錯過,1
【司法高官捲醜聞】27神祕筆記本曝光　蘇揆怒查逾2百司法警調官員世紀醜聞,1
WHO專家小組查疫情源頭 在中國西方間走鋼索,1
高鐵春節優惠 住5縣市指定飯店最低0元起還送半價車票,1
限定組合「911E」登《紅白》　Ella自嘲年紀不適合裸露,1
桃園每年有2.2萬新生兒 鄭文燦：抗少子化政策成效良好,1
灌醉女同志性侵噁問「喜歡嗎」？　肉羹店老闆遭重判再賠60萬,0
西門町墜樓亡 男留紙條「如果我走不要救我」,0
整理冰箱見「紅色結晶」他困擾求助 內行曝超糗真相,1
母雙載出車禍護子 5歲兒站踏板險成肉墊,1
超酷教案！讀紅樓夢學財管 學生化身賈寶玉經營美妝舖,1
盤中零股交易熱 大立光去年增3.4萬名股東,1
台南黑面琵鷺疑中毒  抗毒血清助搶救,1
女兒吵著想吃薯條！外送員突然現身門口 媽驚訝：妳才2歲欸,1
華為揭曉全新nova 8系列 鎖定女性用戶強調美顏拍攝,1
讀電資出路、薪水勝醫牙？ 網友不認同：看續航力,1
萊豬登台最後3天 新北出大招：禁收萊豬廚餘,1
台北地值漲！ 101「地王」8連霸 帝寶連10年蟬聯住宅帝王,1
美女議員鍾沛君手術順利 術後首句話「痛死啦！」,1
健行科大電競隊再傳佳績 LINDY盃奪校園組冠軍,1
醫界籲「入境全篩檢」　陳時中：目前政策不變,1
富王鴨肉店「金句LINE貼圖」被退件 原因曝光！作者發聲明,1
擋萊豬行政命令 藍將發起48小時動員,1
【獨家】【玩game脫單】花5年走出情傷　李佳豫打電玩把到新歡,1
90元改變一生的故事！農家子弟獲行政院傑出科技貢獻獎,1
人夫新婚3天被綠「不是你的種」　受虐18年「只吃白飯」靠2子大逆襲,1
台新銀提2021投資心法,1
河北3天出現59例感染新冠肺炎 進入戰時狀態,1
CES下月登場 雙A推新品搶市,1
公民記者親赴武漢報導疫情遭判刑4年　聯合國極度關切籲釋放,1
